Name,USGS,Latitude,Longitude,desc
Alafia R at Bell Shoals,2301500,27.85611,-82.26853,DEP at Bell Shoals
Alafia R at Bell Shoals,2301500,27.85731,-82.26931,DEP at Bell Shoals
Alafia R at Bell Shoals,2301500,27.8578,-82.269,"DEP at Bell Shoals, EPC (114)"
Alafia R at Bell Shoals,2301500,27.85861,-82.27389,DEP at Bell Shoals
Alafia R at Bell Shoals,2301500,27.8597,-82.2765,DEP at Bell Shoals
Alafia R at Lithia,2301500,27.87194,-82.21138,DEP at road
Alafia R at Lithia,2301500,27.87239,-82.21114,DEP at road
Alafia R at Lithia,2301500,27.87266,-82.21126,"DEP at road, EPC (166)"
Alafia R at Lithia,2301500,27.87275,-82.2112,DEP at road
Alafia R at Lithia,2301500,27.87298,-82.21522,DEP at road
Alafia R at Lithia,2301500,27.87306,-82.20917,DEP at road
Alafia R at Lithia,2301500,27.87364,-82.21081,DEP at road
Hillsborough R at Morris Br,2303330,28.0977,-82.3116,EPC (122)
Hillsborough R at Morris Br,2303330,28.09869,-82.31131,DEP and EPC (165)
Hillsborough R at Morris Br,2303330,28.09873,-82.31148,DEP
